ticker,shortName,sector,industry,currentPrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,trailingPE,forwardPE,priceToBook,pegRatio,returnOnEquity,returnOnAssets,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,revenueGrowth,profitMargins,operatingMargins,grossMargins,ebitdaMargins,dividendYield,marketCap,currentRatio,quickRatio,freeCashflow,totalCashPerShare,bookValue,targetMeanPrice,targetHighPrice,targetLowPrice,recommendationMean,numberOfAnalystOpinions,twoHundredDayAverage,fiftyDayAverage,fiftyTwoWeekChangePercent,beta,enterpriseToEbitda,enterpriseValue,trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions
UNIONBANK,UNION BANK OF INDIA,Financial Services,Banks - Regional,184.67999267578125,205.4900054931641,124.63999938964844,6.829881,6.8990116,1.0104502,0.877399448989056,0.15798001,0.01349,55.2580721094908,0.0778423215089709,0.1257777547184118,-0.0092990754093056,0.40460998,-8.87682,0.0,0.0,2.68,1409774200217.8037,,,-390221300000.0,125.81650421123204,182.77,196.4706,225.0,160.0,2.05882,17.0,170.36979988098145,173.89759979248046,34.891525626985654,0.893,,1187319341128.0,27.04,26.76905,0.74757004,0.15051
IRFC,INDIAN RAILWAY FIN CORP L,Financial Services,Credit Services,86.47000122070312,137.1699981689453,85.0,15.750456,11.845205,1.9895083,1.6237583505154638,0.12812,0.013940001,773.347,0.097,0.104,0.103,0.97271,0.97759,1.0,0.0,3.4,1130033725008.766,18.265,18.258,-270398100000.0,2.635,43.463,60.0,60.0,60.0,5.0,1.0,104.37149978637696,90.47160018920898,-31.768327207282265,0.33,31.158654914814257,5470841470976.0,5.49,7.3,0.82899004,0.048109997
BPCL,BHARAT PETROLEUM CORP  LT,Energy,Oil & Gas Refining & Marketing,308.70001220703125,391.6499938964844,266.6000061035156,7.700175,7.7336097,1.3171313,0.28,0.28469,0.093660004,54.332,0.28,0.281,0.344,0.034679998,-0.04048,0.12755,0.059520002,6.51,1318947048379.5789,0.794,0.238,254027055104.0,47.172,234.373,344.90323,490.0,236.0,2.51613,31.0,331.54525039672853,313.09100036621095,-3.5161742680979824,0.873,5.63,1655158341632.0,40.09,39.91668,0.56657004,0.29431
BRITANNIA,BRITANNIA INDUSTRIES LTD,Consumer Defensive,Packaged Foods,5548.0,6336.0,5035.0,51.384644,42.62784,26.169071,3.7782826470588233,0.53314,0.21594,26.875,0.136,0.136,0.082,0.13376,0.15212,0.41423,0.18634,1.66,1336337235968.0,1.119,0.708,19501613056.0,77.159,212.006,6318.121,7260.0,5000.0,1.90909,33.0,5673.24,5385.23,-2.683739694790388,0.421,36.081,1308965601280.0,107.97,130.14969,0.51183,0.28654
JINDALSTEL,JINDAL STEEL LIMITED,Basic Materials,Steel,1118.9000244140625,1306.199951171875,943.2999877929688,41.984993,12.7145405,2.2362704,,0.067719996,0.04417,43.613,-0.437,-0.435,0.259,0.04818,0.111999996,0.508,0.1634,0.18,1138467561737.0205,1.253,0.44,-48811098112.0,61.392,500.342,1221.7273,1410.0,590.0,2.09375,33.0,1123.6790020751953,1080.1980029296874,10.100863410977867,0.666,14.188,1307898937344.0,26.65,88.00161,0.63868,0.21709
PNB,PUNJAB NATIONAL BANK,Financial Services,Banks - Regional,118.0,135.14999389648438,98.5,6.139438,6.867452,0.86730266,3.231283157894737,0.14965999,0.01131,57.52280655710771,0.019,0.027,0.152,0.38147,0.29405,0.0,0.0,2.55,1356167249920.0,,,240108300000.0,2.094,136.054,122.0,135.0,88.0,2.35294,17.0,115.13909996032714,110.0986004638672,10.167117288388836,0.504,,1390351089664.0,19.22,17.1825,0.70079005,0.19337
LTM,LTM LIMITED,Technology,Information Technology Services,4553.0,6429.5,3528.0,25.841421,19.806166,5.5017824,1.5290781656804733,0.21966,0.12687,9.874,0.169,0.169,0.18,0.118669994,0.15501,0.29768,0.16894,1.64,1349787975680.0,2.932,2.575,51833626624.0,503.009,827.55,4425.1797,6217.0,3360.0,2.4359,39.0,4866.64400390625,4149.242006835938,-12.112730431425533,0.261,16.508,1229212221440.0,176.19,229.87791,0.68639,0.19169001
CANBK,CANARA BANK,Financial Services,Banks - Regional,129.60000610351562,162.88999938964844,103.5500030517578,5.9178085,5.566525,0.99873614,0.095141615755627,0.15935999,0.00988,102.381401307291,0.622,0.622,-0.129,0.43126,0.44137,0.0,0.0,3.25,1175556511810.8645,,,66521700000.0,171.507,129.764,150.4,170.0,103.0,1.7,20.0,139.39294986724855,128.48180068969725,15.425728101639734,0.503,,1168765747200.0,21.9,23.28203,0.64359003,0.18969999
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,Healthcare,Medical Care Facilities,8735.0,9050.0,6696.5,60.137695,40.092197,13.248378,1.7635687683284458,0.21503,0.08439,85.146,0.341,0.342,0.206,0.07906,0.12167,0.35206002,0.13977,0.23,1255958904832.0,1.065,0.896,3955500032.0,129.075,659.326,9780.064,10800.0,6230.0,1.46667,31.0,7831.505,8762.23,10.80806799441836,0.201,35.988,1329429741568.0,145.25,217.87282,0.2839,0.50115
TATACONSUM,TATA CONSUMER PRODUCT LTD,Consumer Defensive,Packaged Foods,1056.300048828125,1282.699951171875,1007.2000122070312,63.82478,44.174274,4.7975693,0.55,0.0694,0.04033,12.159,0.279,0.278,0.119,0.078379996,0.10458,0.41109002,0.13137001,0.94,1045409610948.7078,1.568,0.898,18753087488.0,43.637,220.174,1339.5555,1500.0,1124.0,1.75,27.0,1136.4649969482423,1096.8940014648438,-4.433185364639347,0.414,38.53,1055878807552.0,16.55,23.91211,0.34372002,0.33755
INDUSTOWER,INDUS TOWERS LIMITED,Communication Services,Telecom Services,368.7999877929687,481.5,312.54998779296875,13.603835,12.065879,2.350227,22.673058333333337,0.18912001,0.09729,51.79,0.006,0.007,0.046,0.21776,0.31208,0.55942,0.45716998,3.76,972600214079.588,1.845,1.319,37768249344.0,27.892,156.921,441.0,565.0,345.0,2.56,25.0,417.50949935913087,393.3519982910156,5.643076867667451,0.05,7.473,1122860269568.0,27.11,30.56553,0.51313996,0.32705003
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,Financial Services,Asset Management,11368.0,13880.0,8588.0,14.291101,,1.729562,,0.11598,0.0072500003,0.012,-0.224,-0.224,0.242,7.34641,0.84845,0.98983,0.83055997,1.41,1265184669696.0,2.655,2.193,16121700352.0,9.036,6572.762,,,,,,10748.85,10864.06,-16.66911010115819,0.154,135.651,1358289960960.0,795.46,,0.61588,0.13032
HDFCAMC,HDFC AMC LIMITED,Financial Services,Asset Management,2624.0,2967.25,2205.60009765625,38.22844,29.838526,12.180686,3.239698305084746,0.4339,0.2860508595357626,2.364,0.118,0.12,0.134,0.61625,0.80197996,0.88846,0.80421996,2.12,1125136465920.0,8.717142401530856,8.717142401530856,25051900000.0,214.03,215.423,3111.7778,3340.0,2590.0,1.40741,27.0,2622.02224609375,2620.2019921875,-8.083019528855417,0.554,26.09,1003640127488.0,68.64,87.94,0.56712,0.27361
GROWW,BILLIONBRAINS GARAGE VN L,Financial Services,Capital Markets,200.72000122070312,227.1999969482422,112.0,50.94416,31.454851,12.856776,0.5944476079346557,0.2158246173723793,0.1123460789950964,3.028,0.857,0.943,0.652,0.45354,0.64422995,1.0,0.0,0.0,1242773331334.0774,1.6354701960857234,1.6354701960857234,-326820000.0,13.5,15.612,237.5,255.0,190.0,1.33333,10.0,179.40215383676383,199.2851989746094,52.83636520382677,1.5226,42.366037426303905,1118699126784.0,3.94,6.38121,0.48986,0.36667
CIPLA,CIPLA LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1438.0,1673.0,1165.699951171875,34.517525,22.655626,3.3735833,,0.11736,0.07575,1.778,-0.392,-0.392,0.035,0.12009,0.12549,0.6328,0.18465,0.91,1161692839936.0,3.443,2.283,11400399872.0,124.133,426.253,1509.0834,1768.0,1170.0,2.19444,36.0,1397.4865032958985,1435.3340014648438,-6.991784314915983,0.086,20.366,1055502106624.0,41.66,63.47209,0.31135,0.44469002
INDIANB,INDIAN BANK,Financial Services,Banks - Regional,871.0,1000.9000244140624,642.5999755859375,9.1771145,7.9382854,1.398269,0.1932024105263158,0.16171,0.0134000005,45.98357105386151,0.475,0.475,0.103,0.36413,0.48043,0.0,0.0,2.09,1173205680128.0,,,183613600000.0,445.269,622.913,1013.375,1145.0,910.0,1.26667,16.0,861.7252508544922,844.6680017089843,29.990301599575673,0.28,,1059230121984.0,94.91,109.72143,0.76411,0.17021
AMBUJACEM,AMBUJA CEMENTS LTD,Basic Materials,Building Materials,411.0,600.7999877929688,394.0,23.02521,28.278305,1.7118224,5.15,0.08302,0.022969998,1.205,-0.275,-0.268,-0.077,0.11128,0.07947,0.5682,0.15627,0.49,1021259874304.0,1.047,0.496,-28945436672.0,3.677,240.095,489.92105,639.0,350.0,1.97436,38.0,477.83250030517576,428.3290002441406,-30.56259789702496,0.221,18.168,1131827036160.0,17.85,14.53411,0.69352996,0.22929001
JSWENERGY,JSW ENERGY LIMITED,Utilities,Utilities - Independent Power Producers,542.0,617.3499755859375,427.75,42.57659,31.9008,3.0953033,,0.08817001,0.040489998,229.16,-0.395,-0.366,0.012,0.10373,0.38092,0.66886,0.54482,0.37,993146175488.0,0.762,0.548,-59860938752.0,45.43,175.104,614.63635,720.0,475.0,2.26316,22.0,520.8877520751953,559.4460046386719,1.927597555242122,0.133,16.194,1673207873536.0,12.73,16.99017,0.66706,0.21400999
DRREDDY,DR. REDDY S LABORATORIES,Healthcare,Drug Manufacturers - Specialty & Generic,1180.0,1414.9000244140625,1101.0,29.7529,19.867859,2.563512,1.63,0.088369995,0.040149998,18.605,-0.687,-0.687,-0.056,0.09996,0.04251,0.50176,0.16508,0.68,982940057600.0,1.902,1.161,-3909625088.0,97.753,460.306,1265.7726,1740.0,1039.0,2.79487,39.0,1257.6370013427734,1239.982001953125,-5.251326732937233,0.242,17.713,968423440384.0,39.66,59.39241,0.30129,0.51980996
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1107.699951171875,1205.0,835.5,24.703388,22.520021,4.111211,,0.18318,0.08126,42.304,-0.359,-0.359,0.22,0.15784,0.16438,0.72111,0.23806,0.09,1104934814141.764,1.267,0.674,-9061624832.0,49.403,269.434,1195.7827,1457.48,800.0,2.56667,30.0,981.3380004882812,1122.4699975585938,12.651272747203413,0.37,17.8,1211528380416.0,44.84,49.18734,0.75184995,0.15595001
