ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
RELTD,RAVINDRA ENERGY LIMITED,Technology,799,49.2,ranked,750,49.8,ranked,750,49.8,ranked,-49,-0.6,down,0,0,unchanged,-49,-0.6,down
KAPSTON,KAPSTON SERVICES LIMITED,Industrials,800,49.2,ranked,740,49.9,ranked,740,49.9,ranked,-60,-0.7,down,0,0,unchanged,-60,-0.7,down
CONCOR,CONTAINER CORP OF IND LTD,Industrials,801,49.1,ranked,595,51.3,ranked,595,51.3,ranked,-206,-2.2,down,0,0,unchanged,-206,-2.2,down
NIVABUPA,NIVA BUPA HEALTH INS CO L,Financial Services,802,49.1,ranked,803,49.2,ranked,803,49.2,ranked,1,-0.1,up,0,0,unchanged,1,-0.1,up
KDDL,KDDL LIMITED,Consumer Cyclical,803,49.1,ranked,939,47.6,ranked,939,47.6,ranked,136,1.5,up,0,0,unchanged,136,1.5,up
CENTRALBK,CENTRAL BANK OF INDIA,Financial Services,804,49.1,ranked,999,46.8,ranked,999,46.8,ranked,195,2.3,up,0,0,unchanged,195,2.3,up
REDTAPE,REDTAPE LIMITED,Consumer Cyclical,805,49.1,ranked,600,51.2,ranked,600,51.2,ranked,-205,-2.1,down,0,0,unchanged,-205,-2.1,down
SMARTWORKS,SMARTWORKS COWORKING SP L,Real Estate,806,49.1,ranked,631,50.9,ranked,631,50.9,ranked,-175,-1.8,down,0,0,unchanged,-175,-1.8,down
VIKRAN,VIKRAN ENGINEERING LTD,Industrials,807,49.1,ranked,405,53.1,ranked,405,53.1,ranked,-402,-4,down,0,0,unchanged,-402,-4,down
GALAPREC,GALA PRECISION ENG LTD,Industrials,808,49.1,ranked,614,51.1,ranked,614,51.1,ranked,-194,-2,down,0,0,unchanged,-194,-2,down
INSECTICID,INSECTICIDES (I) LTD,Basic Materials,809,49.1,ranked,603,51.2,ranked,603,51.2,ranked,-206,-2.1,down,0,0,unchanged,-206,-2.1,down
POLICYBZR,PB FINTECH LIMITED,Financial Services,810,49,ranked,922,47.9,ranked,922,47.9,ranked,112,1.1,up,0,0,unchanged,112,1.1,up
HDBFS,HDB FINANCIAL SERVICES L,Financial Services,811,49,ranked,795,49.3,ranked,795,49.3,ranked,-16,-0.3,down,0,0,unchanged,-16,-0.3,down
360ONE,360 ONE WAM LIMITED,Financial Services,812,49,ranked,694,50.4,ranked,694,50.4,ranked,-118,-1.4,down,0,0,unchanged,-118,-1.4,down
BALKRISIND,BALKRISHNA IND. LTD,Consumer Cyclical,813,49,ranked,819,49,ranked,819,49,ranked,6,0,up,0,0,unchanged,6,0,up
CLEANMAX,CLEAN MAX ENVIRO EN SOL L,Utilities,814,49,ranked,508,52.1,ranked,508,52.1,ranked,-306,-3.1,down,0,0,unchanged,-306,-3.1,down
PRECWIRE,PRECISION WIRES INDIA LTD,Industrials,815,49,ranked,870,48.5,ranked,870,48.5,ranked,55,0.5,up,0,0,unchanged,55,0.5,up
CYIENTDLM,CYIENT DLM LIMITED,Industrials,816,49,ranked,1266,40.5,ranked,1266,40.5,ranked,450,8.5,up,0,0,unchanged,450,8.5,up
