ticker,shortName,sector,currentPrice,pct_below_52w_high,pct_above_52w_low,trailingPE,priceToBook,roe_pct,debtToEquity,margin_pct,earningsGrowth,revenueGrowth,marketCap,score,reasons
TCS,TATA CONSULTANCY SERV LT,Technology,2298.0,31.402985074626866,16.248479524385225,16.704222,7.583808,47.743,10.211,18.052,0.046,0.139,8314365149184.0,13,31% below 52w high; ROE 48%; low D/E 10; margin 18%; rev +14%; PE 17
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD,Technology,82.8499984741211,41.44876432924304,64.38491263056822,11.538998,5.9471684,66.685,20.729,26.063,0.144,0.703,35970440553.519165,13,41% below 52w high; ROE 67%; low D/E 21; margin 26%; rev +70%; PE 12
EIHOTEL,EIH LIMITED,Consumer Cyclical,299.8999938964844,31.025758436938446,10.602987515085745,26.237968,3.5640008,12.948,4.666,23.142,2.463,0.145,187546710295.08005,12,31% below 52w high; low D/E 5; margin 23%; earnings +246%; rev +14%
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,Consumer Cyclical,226.8500061035156,22.642794167599114,30.276230254620994,13.470902,2.2992175,17.754,25.234,7.506,0.487,0.127,37948625917.02722,12,23% below 52w high; low D/E 25; earnings +49%; rev +13%; PE 13
IMFA,INDIAN METALS & FERRO,Basic Materials,1421.9000244140625,15.358056804004669,74.46626066430214,14.622584,2.8230617,16.71,35.121,16.670999000000002,1.085,0.497,76717344037.2389,12,low D/E 35; margin 17%; earnings +108%; rev +50%; PE 15
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,324.3500061035156,42.059661812020224,85.34286063058035,37.671314,4.678215,14.199,18.873,33.827,0.746,0.18,45712462684.20263,12,42% below 52w high; low D/E 19; margin 34%; earnings +75%; rev +18%
HDFCBANK,HDFC BANK LTD,Financial Services,725.0499877929688,28.95149556168851,1.3914155428237045,15.858486,1.8411022,13.838000000000001,81.34343829261803,26.787,0.181,0.166,11173745205541.443,12,29% below 52w high; margin 27%; earnings +18%; rev +17%; PE 16
TAJGVK,TAJ GVK HOTELS & RESORTS,Consumer Cyclical,347.8999938964844,32.13693995350542,23.653807126090257,5.2888417,2.1345785,39.556998,9.027,73.127997,-0.385,0.551,21813849729.30045,12,32% below 52w high; ROE 40%; low D/E 9; margin 73%; rev +55%; PE 5
KARURVYSYA,KARUR VYSYA BANK LTD,Financial Services,334.1000061035156,5.031262735537504,65.5435506782003,11.764085,2.2891872,19.282,18.589340559560014,41.307,0.45,0.26,322963543820.06885,12,ROE 19%; low D/E 19; margin 41%; earnings +45%; rev +26%; PE 12
APTUS,APTUS VALUE HSG FIN I LTD,Financial Services,253.3000030517578,29.393727372332318,31.22312834979156,12.884028,2.506655,20.113,156.2,61.761004,0.19,0.168,126857135608.37444,12,29% below 52w high; ROE 20%; margin 62%; earnings +19%; rev +17%; PE 13
BPCL,BHARAT PETROLEUM CORP  LT,Energy,308.70001220703125,21.17962031971264,15.791449789828215,7.700175,1.3171313,28.469,54.332,3.4679998,0.28,0.344,1318947048379.5789,12,21% below 52w high; ROE 28%; earnings +28%; rev +34%; PE 8
CEINSYS,CEINSYS TECH LIMITED,Industrials,761.0,39.115130399589574,3.3475962832004815,11.479861,2.071295,24.595,8.43,20.053,-0.095,0.008,15933558784.0,12,39% below 52w high; ROE 25%; low D/E 8; margin 20%; PE 11
AGIIL,AGI INFRA LIMITED,Real Estate,293.70001220703125,32.38949900238289,30.70761735465562,35.258106,7.9183636,24.336,38.289,28.643998999999997,0.343,0.053,36711736821.84712,12,32% below 52w high; ROE 24%; low D/E 38; margin 29%; earnings +34%
SPARC,SUN PHARMA ADV.RES.CO.LTD,Healthcare,199.58999633789065,30.937717530141644,84.80555216471357,4.0882835,4.837959,276.89402,41.776,82.97099999999999,,3.141,64771263323.56642,12,31% below 52w high; ROE 277%; low D/E 42; margin 83%; rev +314%; PE 4
CRIZAC,CRIZAC LIMITED,Consumer Defensive,171.33999633789062,55.83451709070852,0.6165970363235179,13.598412,5.128558,40.003,0.31,21.324,0.027,-0.04,29981498751.194996,12,56% below 52w high; ROE 40%; low D/E 0; margin 21%; PE 14
INDIASHLTR,INDIA SHELTER FIN CORP L,Financial Services,675.2999877929688,30.291614163306452,5.515623092651367,14.255858,2.2964857,17.036,195.303,47.973,0.223,0.218,73585220301.83994,12,30% below 52w high; margin 48%; earnings +22%; rev +22%; PE 14
GVT&D,GE VERNOVA T&D INDIA LTD,Industrials,4050.10009765625,28.316812430862832,60.51443310210994,79.66365,38.542282,55.261004,0.892,19.442,0.247,0.38,1037014098348.5446,12,28% below 52w high; ROE 55%; low D/E 1; margin 19%; earnings +25%; rev +38%
INDIANB,INDIAN BANK,Financial Services,871.0,12.97832163508111,35.543111280980376,9.1771145,1.398269,16.171,45.98357105386151,36.413000000000004,0.475,0.103,1173205680128.0,12,low D/E 46; margin 36%; earnings +48%; rev +10%; PE 9
REFEX,REFEX INDUSTRIES LIMITED,Energy,293.6000061035156,29.253010577466114,56.17021601250831,13.921289,2.6780257,17.817,14.918,8.658000000000001,2.071,1.391,40287634245.52111,12,29% below 52w high; low D/E 15; earnings +207%; rev +139%; PE 14
CIEINDIA,CIE AUTOMOTIVE INDIA LTD,Consumer Cyclical,403.7999877929687,23.231941484226486,5.95643697871976,17.088448,1.9784322,12.26999999999999,6.63,5.728,0.159,0.106,153186512361.11197,12,23% below 52w high; low D/E 7; earnings +16%; rev +11%; PE 17
BSOFT,BIRLASOFT LIMITED,Technology,309.0,34.810126582278485,14.359728364201413,15.124816,2.0998268,13.656999,3.422,10.600999999999999,0.508,0.074,86390087680.0,12,35% below 52w high; low D/E 3; earnings +51%; PE 15
NATIONALUM,NATIONAL ALUMINIUM CO LTD,Basic Materials,385.6000061035156,13.377510638990723,109.72479322498481,10.489663,3.277546,29.42,0.277,34.908,0.911,0.393,708205226953.9108,12,ROE 29%; low D/E 0; margin 35%; earnings +91%; rev +39%; PE 10
CSBBANK,CSB BANK LIMITED,Financial Services,320.8999938964844,44.13301179368333,2.5403359576141624,8.374217,1.1374229,13.483,146.17951878829493,24.099999999999998,0.265,0.169,54385355765.59092,12,44% below 52w high; margin 24%; earnings +26%; rev +17%; PE 8
BALUFORGE,BALU FORGE INDUSTRIES LTD,Industrials,546.75,21.556671449067434,60.31374272674056,22.453798,3.5497024,19.556,9.524,22.806999,0.88,0.29,62871822336.0,12,22% below 52w high; ROE 20%; low D/E 10; margin 23%; earnings +88%; rev +29%
NDRAUTO,NDR AUTO COMPONENTS LTD,Consumer Cyclical,773.7999877929688,34.78847094945625,27.89025756624617,28.385912,5.1451178,18.77,17.248,7.539999999999999,0.206,0.196,18459184860.798332,12,35% below 52w high; ROE 19%; low D/E 17; earnings +21%; rev +20%
SHAREINDIA,SHARE IND. SECURITIES LTD,Financial Services,175.27999877929688,16.92891053113892,51.94174571074728,10.584541,1.4739196,12.968001000000001,27.925,25.607999999999997,0.47,0.329,38355738356.87899,12,low D/E 28; margin 26%; earnings +47%; rev +33%; PE 11
ECLERX,ECLERX SERVICES LTD,Technology,1804.800048828125,27.735733780655657,36.72727642637311,23.387327,6.5182295,28.999999999999996,15.012,16.814,0.188,0.233,166087217549.42154,12,28% below 52w high; ROE 29%; low D/E 15; margin 17%; earnings +19%; rev +23%
GILLETTE,GILLETTE INDIA LTD,Consumer Defensive,7512.0,30.05586592178771,4.24646128226478,45.914062,25.863049,66.443,0.002,21.035999,0.094,0.108,244780138496.0,12,30% below 52w high; ROE 66%; low D/E 0; margin 21%; rev +11%
GANDHITUBE,GANDHI SPL. TUBES LTD,Industrials,894.9500122070312,13.263232229589663,31.40738980221311,14.566244,3.4421685,23.506,0.032,37.186,0.293,0.189,10875433108.339851,12,ROE 24%; low D/E 0; margin 37%; earnings +29%; rev +19%; PE 15
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,Consumer Defensive,255.47999572753903,31.322581793672306,78.53248415847727,12.0794325,3.4007773,29.677,35.857,14.335,0.466,0.049,13470289694.732714,12,31% below 52w high; ROE 30%; low D/E 36; earnings +47%; PE 12
SUNCLAY,SUNDARAM CLAYTON LIMITED,Industrials,1275.9000244140625,34.29968978300399,14.6567189458426,11.215717,2.1714306,22.271,100.167,11.891,1.843,0.148,28128698906.23638,12,34% below 52w high; ROE 22%; earnings +184%; rev +15%; PE 11
TRANSRAILL,TRANSRAIL LIGHTING LTD,Industrials,459.8500061035156,44.12515114173565,2.177539956973651,15.272335,2.7054138,19.392,29.726,5.935,0.02,0.04,61737636659.43378,12,44% below 52w high; ROE 19%; low D/E 30; PE 15
INFY,INFOSYS LIMITED,Technology,1130.0,34.60648148148148,15.024427108903158,14.582527,4.9910316,32.0,9.541,16.370001000000002,0.053,0.029,4576639451136.0,12,35% below 52w high; ROE 32%; low D/E 10; margin 16%; PE 15
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,Technology,325.6000061035156,12.367106230415716,89.84316747239943,17.68604,6.0981774,29.271144769866282,9.745,22.844,0.737,0.513,225427542145.73865,12,ROE 29%; low D/E 10; margin 23%; earnings +74%; rev +51%; PE 18
KERNEX,KERNEX MICROSYS(I) LTD,Technology,1837.0,28.798449612403097,116.11764705882352,16.166506,12.419631,43.605998,65.52,21.725,13.723,8.004,30868252672.0,12,29% below 52w high; ROE 44%; margin 22%; earnings +1372%; rev +800%; PE 16
HINDCOPPER,HINDUSTAN COPPER LTD,Basic Materials,560.0999755859375,26.307481799670256,147.06660040838634,47.62755,16.220678,30.602,3.319,32.494,1.619,0.814,541630079943.01733,12,26% below 52w high; ROE 31%; low D/E 3; margin 32%; earnings +162%; rev +81%
TANLA,TANLA PLATFORMS LIMITED,Technology,572.7999877929688,25.22193370848972,56.54550351127303,14.245213,3.053191,21.409,2.118,11.576,0.222,0.178,75638651316.05273,12,25% below 52w high; ROE 21%; low D/E 2; earnings +22%; rev +18%; PE 14
SIYSIL,SIYARAM SILK MILLS LTD,Consumer Cyclical,647.5499877929688,23.70994379056082,49.428863198928056,12.388559,2.0121434,16.834,24.131,9.026,1.382,0.144,29379399126.165936,12,24% below 52w high; low D/E 24; earnings +138%; rev +14%; PE 12
SANOFI,SANOFI INDIA LIMITED,Healthcare,3321.0,37.23303723303723,8.7426326129666,23.608446,10.20885,40.271,1.78,17.937,0.201,0.077,76484698112.0,12,37% below 52w high; ROE 40%; low D/E 2; margin 18%; earnings +20%
GPPL,GUJARAT PIPAVAV PORT LTD,Industrials,164.80999755859375,17.6320652831238,16.432351822932077,14.25692,3.3835635,21.802999,1.544,45.058998,0.417,0.325,79706372963.27286,12,ROE 22%; low D/E 2; margin 45%; earnings +42%; rev +32%; PE 14
BAJAJCON,BAJAJ CONSUMER CARE LTD,Consumer Defensive,486.9500122070313,29.631501126151544,121.24034470858356,28.950655,8.635397,30.78,2.092,18.059,0.957,0.281,63604594234.46195,12,30% below 52w high; ROE 31%; low D/E 2; margin 18%; earnings +96%; rev +28%
IOC,INDIAN OIL CORP LTD,Energy,135.89999389648438,28.080022720219826,4.361843512928958,5.560556,0.8524545,20.969999,58.446,3.92,0.781,0.385,1919076183890.802,12,28% below 52w high; ROE 21%; earnings +78%; rev +38%; PE 6
CRAMC,CANARA ROBECO AMC LIMITED,Financial Services,264.29998779296875,25.212226271179343,23.38935180135991,24.114962,7.0668445,30.286,2.358,45.586,0.239,0.202,52706018941.70544,12,25% below 52w high; ROE 30%; low D/E 2; margin 46%; earnings +24%; rev +20%
WIPRO,WIPRO LTD,Technology,181.0,33.72391213664276,7.100591715976331,14.376489,2.3110316,16.128999,27.398,13.919,0.009,0.106,1790566334464.0,12,34% below 52w high; low D/E 27; rev +11%; PE 14
IZMO,IZMO LIMITED,Technology,866.4500122070312,36.971699790312904,115.4812233412338,28.15892,3.1700473,12.384,4.055,16.695,1.497,0.823,12964324534.648638,12,37% below 52w high; low D/E 4; margin 17%; earnings +150%; rev +82%
INDIAMART,INDIAMART INTERMESH LTD,Communication Services,1749.199951171875,34.852888224511176,1.1098237671604048,21.368189,4.738954,23.146,0.974,30.618997999999998,0.119,0.114,1052016086345.447,12,35% below 52w high; ROE 23%; low D/E 1; margin 31%; rev +11%
BSE,BSE LIMITED,Financial Services,3291.10009765625,25.989470131149,62.80485271611427,47.891445,16.949667,36.003,0.0,48.918,0.621,0.64,1336611478253.0437,12,26% below 52w high; ROE 36%; low D/E 0; margin 49%; earnings +62%; rev +64%
AIIL,AUTHUM INVEST & INFRA LTD,Financial Services,532.2999877929688,22.064423456373536,33.07499694824219,27.781837,2.8045604,13.100000000000001,24.59,82.054,0.175,0.141,452042708865.47815,12,22% below 52w high; low D/E 25; margin 82%; earnings +18%; rev +14%
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,Technology,883.1500244140625,24.844690429535635,37.992191314697266,11.050426,1.7655619,17.559,1.011,11.139000000000001,0.732,0.127,13706257786.899876,12,25% below 52w high; low D/E 1; earnings +73%; rev +13%; PE 11
MIDWESTLTD,MIDWEST LIMITED,Basic Materials,1154.0,37.9536542366812,10.0619933237959,37.57734,4.163555,13.219,19.664,15.972,0.25,0.348,41729581056.0,12,38% below 52w high; low D/E 20; margin 16%; earnings +25%; rev +35%
INFOBEAN,INFOBEANS TECHNO. LTD.,Technology,156.77999877929688,39.11456358085558,34.5751062483235,17.897259,3.6757948,23.24,3.547,15.322,-0.067,0.366,15201300361.641312,12,39% below 52w high; ROE 23%; low D/E 4; margin 15%; rev +37%; PE 18
ONGC,OIL AND NATURAL GAS CORP.,Energy,238.5,22.439024390243905,4.766091102312633,6.891072,0.8071066,12.703000000000001,42.548,6.181,0.214,0.257,3000396677120.0,12,22% below 52w high; low D/E 43; earnings +21%; rev +26%; PE 7
JAYKAY,JAYKAY ENTERPRISES LTD,Industrials,145.67999267578125,33.69139977270863,26.10803056539482,8.625222,1.8183633,93.41000000000001,5.673119243237991,28.791,-0.767,0.126,18980217925.749073,12,34% below 52w high; ROE 93%; low D/E 6; margin 29%; rev +13%; PE 9
