ticker,shortName,sector,currentPrice,pct_below_52w_high,trailingPE,roe_pct,debtToEquity,promoter_pct,institutional_pct,institutions_count,avg_delivery_pct,delivery_trend,score,ownership_score,shareholding_score,final_score,reasons,shareholding_reasons
DEEPAKFERT,DEEPAK FERTILIZERS & PETR,Basic Materials,1464.199951171875,12.897087973118678,18.786245,10.771,75.969,47.1,19.2,53.0,41.7,4.6,7,0,1,8,earnings +102%; rev +22%,promoter 47.1%
HUBTOWN,HUBTOWN LIMITED,Real Estate,198.80999755859375,45.63576950442026,30.49233,6.370000000000001,44.93,49.7,3.2,7.0,57.8,-7.2,7,0,1,8,46% below 52w high; low D/E 45; margin 15%,promoter 49.7%
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,Real Estate,77.66999816894531,21.89260231091469,14.517756,7.159,42.189,49.3,5.8,8.0,57.6,4.5,6,1,1,8,22% below 52w high; low D/E 42; PE 15,promoter 49.3%
AARTIPHARM,AARTI PHARMALABS LIMITED,Healthcare,829.25,12.350700623744356,36.822823,8.491999999999999,37.359,44.1,12.6,27.0,41.3,-4.3,7,0,1,8,low D/E 37; earnings +54%; rev +39%,promoter 44.1%
RAMCOCEM,THE RAMCO CEMENTS LIMITED,Basic Materials,906.9500122070312,25.323177257551976,33.28257,8.996,47.897,49.1,31.1,55.0,54.6,2.5,5,1,2,8,25% below 52w high; low D/E 48,promoter 49.1%; institutional 31.1%
AWHCL,ANTONY WASTE HDG CELL LTD,Industrials,381.1499938964844,38.12500099083046,18.493448,10.58,50.103,53.0,7.5,8.0,51.8,0.4,5,1,2,8,38% below 52w high,strong promoter 53.0%
HIRECT,HIND RECTIFIER LIMITED,Industrials,1278.4000244140625,8.620441428587384,106.444626,21.110001,118.871,61.3,3.1,3.0,39.2,8.1,4,2,2,8,ROE 21%; rev +20%,strong promoter 61.3%
WINDMACHIN,WINDSOR MACHINES LIMITED,Industrials,320.5,7.222466731909821,260.5691,0.105,17.494,80.0,1.5,2.0,55.6,6.5,3,3,2,8,low D/E 17; rev +31%,strong promoter 80.0%; ⚠ very high promoter = low float
NITCO,NITCO LIMITED,Industrials,89.61000061035156,31.06923029972957,93.277306,9.3760006,86.275,20.8,47.3,2.0,60.6,16.6,2,4,2,8,31% below 52w high,high institutional 47.3%
YATHARTH,YATHARTH HOSP & TRA C S L,Healthcare,847.8499755859375,7.792281067325993,45.412426,9.889,14.614,56.9,12.5,22.0,51.8,-0.1,5,1,2,8,low D/E 15; rev +52%,strong promoter 56.9%
MAITHANALL,MAITHAN ALLOYS LTD,Basic Materials,978.0,19.18023140803332,9.797636,11.144,5.704,75.0,0.5,6.0,58.2,-4.4,5,1,2,8,low D/E 6; PE 10,strong promoter 75.0%; ⚠ very high promoter = low float
KALPATARU,KALPATARU LIMITED,Real Estate,288.3500061035156,32.83251472101757,49.039116,2.447,224.816,83.7,10.8,4.0,45.3,-1.0,5,1,2,8,33% below 52w high; earnings +1009%,strong promoter 83.7%; ⚠ very high promoter = low float
JINDALPHOT,JINDAL PHOTO LIMITED,Financial Services,1049.4000244140625,35.08598043658222,295.35,2.00999999999999,6.343082632408667,82.9,1.7,1.0,59.8,9.1,3,3,2,8,35% below 52w high; low D/E 6,strong promoter 82.9%; ⚠ very high promoter = low float
TTML,TATA TELESERV(MAHARASTRA),Communication Services,37.45000076293945,38.49564602014742,197.10527,1.13,,74.4,2.0,39.0,40.9,5.6,4,2,2,8,38% below 52w high,strong promoter 74.4%
RHIM,RHI MAGNESITA INDIA LTD,Industrials,374.75,27.31063740215048,35.24,-10.132,12.595,70.2,16.4,49.0,47.6,5.4,3,3,2,8,27% below 52w high; low D/E 13; earnings +122%,strong promoter 70.2%
KIRLOSENG,KIRLOSKAR OIL ENG LTD,Industrials,2150.10009765625,20.95220229204963,57.42789,16.819,154.864,42.8,30.6,66.0,53.8,3.4,5,1,2,8,21% below 52w high; rev +13%,promoter 42.8%; institutional 30.6%
CREDITACC,CREDITACCESS GRAMEEN LTD,Financial Services,1534.5,6.089351285189718,20.36226,16.364999,302.872,66.1,21.4,57.0,50.5,-1.9,5,1,2,8,margin 40%; earnings +715%; rev +150%,strong promoter 66.1%
VARROC,VARROC ENGINEERING LTD.,Consumer Cyclical,824.25,5.783846030520579,63.994564,13.456,50.855,75.0,12.4,23.0,40.9,7.3,4,2,2,8,rev +30%,strong promoter 75.0%; ⚠ very high promoter = low float
SWELECTES,SWELECT ENERGY SYS LTD,Technology,608.7999877929688,37.68679756469101,22.154293,6.288,83.572,62.1,0.0,4.0,62.9,-7.0,5,1,2,8,38% below 52w high,strong promoter 62.1%
MOTILALOFS,MOTILAL OSWAL FIN LTD,Financial Services,973.4000244140624,11.275175820308402,30.211048,15.55,165.8,52.8,29.0,79.0,39.4,-6.5,6,-1,3,8,margin 23%; rev +24%,strong promoter 52.8%; institutional 29.0%
BHARATWIRE,BHARAT WIRE ROPES LTD.,Basic Materials,187.7599945068359,28.335879959222925,25.89793,9.365,9.237,51.8,21.6,6.0,44.5,2.3,5,0,2,7,28% below 52w high; low D/E 9,strong promoter 51.8%
GSPCROP,GSP CROP SCIENCE LIMITED,Basic Materials,590.5,2.8463290787135618,27.300047,15.499,34.017,88.9,0.0,0.0,24.2,-4.7,5,0,2,7,low D/E 34,strong promoter 88.9%; ⚠ very high promoter = low float
ABFRL,ADITYA BIRLA FASHION & RT,Consumer Cyclical,54.75,42.33807081653247,,-12.692999999999998,98.822,59.1,10.2,42.0,49.1,7.7,2,3,2,7,42% below 52w high; rev +11%,strong promoter 59.1%
BLISSGVS,BLISS GVS PHARMA LTD,Healthcare,580.1500244140625,3.70154989478287,45.970684,11.5959994,1.766,57.5,9.8,10.0,41.4,-6.4,6,-1,2,7,low D/E 2; earnings +15%; rev +38%,strong promoter 57.5%
COHANCE,COHANCE LIFESCIENCES LTD,Healthcare,475.5499877929687,54.225625506055984,171.6787,3.836,9.928,64.0,22.7,48.0,46.3,-15.4,5,0,2,7,54% below 52w high; low D/E 10,strong promoter 64.0%
PAISALO,PAISALO DIGITAL LIMITED,Financial Services,69.94999694824219,9.613648404294228,25.252707,14.255,243.153,57.7,15.9,13.0,43.9,-1.1,5,0,2,7,margin 46%; earnings +29%; rev +21%,strong promoter 57.7%
DELHIVERY,DELHIVERY LIMITED,Industrials,450.1000061035156,14.103052270321443,368.93442,1.596,15.098,19.9,57.0,103.0,52.1,1.5,4,1,2,7,low D/E 15; rev +28%,high institutional 57.0%
